time,flexion_tronco,flexion_brazo,flexion_muneca,Puntos_Brazo,Puntos_Muneca,Puntos_Tronco,RULA_Final
1.65,-0.16146872220659247,-0.13871434225714552,0.9182070673454916,1,1,1,4
1.6667,-0.1636116132487757,-0.16230929156262164,0.9229154477763757,1,1,1,4
1.6833,-0.16406499350378567,-0.17322316400964155,0.9285915033653964,1,1,1,4
1.7,-0.1676265349264554,-0.17749225736167773,0.9182899227232895,1,1,1,4
1.7167,-0.17377924542208234,-0.17921781581748064,0.8974934722514547,1,1,1,4
1.7333,-0.17828226118024304,-0.19112168669664698,0.8714029812398394,1,1,1,4
1.75,-0.18093109851315603,-0.2066012888730029,0.8564132750742601,1,1,1,4
1.7667,-0.17997951787668853,-0.22249822003340114,0.8627008883638041,1,1,1,4
1.7833,-0.17375120938459077,-0.23906283313817767,0.8768315466343779,1,1,1,4
1.8,-0.16580235249540465,-0.2526920081815547,0.8980820452559328,1,1,1,4
1.8167,-0.16270980533798252,-0.2588105609719378,0.9173352476625212,1,1,1,4
1.8333,-0.16011748435087725,-0.26765853675897233,0.9265025147252288,1,1,1,4
1.85,-0.16048016489108363,-0.28329013840846073,0.9351662098753195,1,1,1,4
1.8667,-0.1557214243356384,-0.30403816783331195,0.9447538789964938,1,1,1,4
1.8833,-0.14944562416326335,-0.3237817335634645,0.9483868787370113,1,1,1,4
1.9,-0.14320537202735295,-0.33177582100151426,0.9415204454929267,1,1,1,4
1.9167,-0.1355764337611447,-0.33113433709272044,0.9225554940086624,1,1,1,4
1.9333,-0.12655506018887763,-0.33283713510593316,0.8893173624134931,1,1,1,4
1.95,-0.11761384057496116,-0.34094363916494785,0.8699843483452696,1,1,1,4
1.9667,-0.11178458559453475,-0.34688479910380465,0.8646544220812018,1,1,1,4
1.9833,-0.10883169571982876,-0.34896149443341073,0.8769106620557068,1,1,1,4
2.0,-0.11129097133996879,-0.3470093964780858,0.8969990755514914,1,1,1,4
2.0167,-0.11147511858081316,-0.34984484818443207,0.9164358909594341,1,1,1,4
2.0333,-0.11347429219898686,-0.3520466158296358,0.925458183632486,1,1,1,4
2.05,-0.11098493099925122,-0.3545199579717746,0.932566051508303,1,1,1,4
2.0667,-0.10517704032869801,-0.36166275147002125,0.9389946014552777,1,1,1,4
2.0833,-0.09321277204023204,-0.3720332103483486,0.9468062250736295,1,1,1,4
2.1,-0.082918745419164,-0.37569569082290855,0.9477618230972382,1,1,1,4
2.1167,-0.07531310744485609,-0.37558367100254486,0.9403965671376682,1,1,1,4
2.1333,-0.07217621186441647,-0.3688359135712176,0.9219724129594056,1,1,1,4
2.15,-0.07106506719887307,-0.3553212012199083,0.9007106793015112,1,1,1,4
2.1667,-0.07274663875645615,-0.3338621585989472,0.8889948764599467,1,1,1,4
2.1833,-0.07431316532787946,-0.3054485894598997,0.8916521614587509,1,1,1,4
2.2,-0.07726361369807933,-0.27513344905437975,0.9067604674955021,1,1,1,4
2.2167,-0.08157201423117044,-0.2573164432413364,0.9245268366339872,1,1,1,4
2.2333,-0.07046824983041233,-0.2654276551263024,0.9387640581067274,1,1,1,4
2.25,-0.061379119649899394,-0.28215605413259937,0.9520928102524238,1,1,1,4
2.2667,-0.05659646677406727,-0.2989493376852579,0.9632615490797036,1,1,1,4
2.2833,-0.05665710417932246,-0.31397257067831674,0.9788995259861792,1,1,1,4
2.3,-0.05101365376432909,-0.3252596447876499,0.9902734646730096,1,1,1,4
2.3167,-0.06418346253727236,-0.3117111653568543,0.9897670237473903,1,1,1,4
2.3333,-0.06724667386180272,-0.2980027586834808,0.9787207999106045,1,1,1,4
2.35,-0.05375150206913304,-0.29512313926528577,0.9620507915190046,1,1,1,4
2.3667,-0.05005864047345199,-0.2941881755412794,0.9446285924658469,1,1,1,4
2.3833,-0.04870669855210963,-0.30582533077816265,0.9387993402342545,1,1,1,4
2.4,-0.052465397310925255,-0.31815072068914674,0.9450699151218487,1,1,1,4
2.4167,-0.05403210531156333,-0.326673113993877,0.9696570270866687,1,1,1,4
2.4333,-0.05195524175275068,-0.32891033088776567,0.9918030170522911,1,1,1,4
2.45,-0.05251847256829478,-0.32056541758331036,1.019782942345472,1,1,1,4
2.4667,-0.05012534441374328,-0.31536701274086454,1.0386447060379567,1,1,1,4
2.4833,-0.05602758031523081,-0.3060339633702256,1.0551818838860356,1,1,1,4
2.5,-0.06455705249516086,-0.2968316577471626,1.0635045710329223,1,1,1,4
2.5167,-0.07569225590501105,-0.28749348363677996,1.0591665833799198,1,1,1,4
2.5333,-0.08499793338205563,-0.2834271258288936,1.0420178615234192,1,1,1,4
2.55,-0.08459000233906977,-0.2845531288536449,1.0186344658973496,1,1,1,4
2.5667,-0.07719192113239615,-0.292361933699965,0.9980721401624635,1,1,1,4
2.5833,-0.06661037303902617,-0.301265177608002,0.9843993007638403,1,1,1,4
2.6,-0.06394222489009849,-0.30932365672134665,0.9863175580621544,1,1,1,4
2.6167,-0.06200199166448783,-0.314718651792532,0.9926748260451177,1,1,1,4
2.6333,-0.06352676727536277,-0.3158405300250706,1.009864399171306,1,1,1,4
2.65,-0.06994875326179795,-0.3180691931602837,1.0363461362696,1,1,1,4
2.6667,-0.07761477461076538,-0.31809025989707607,1.0607258762398146,1,1,1,4
2.6833,-0.08258378272023492,-0.31484240647046136,1.0809796932421705,1,1,1,4
2.7,-0.08251881125895011,-0.31585901630126045,1.0947330548798107,1,1,1,4
2.7167,-0.09095288393672263,-0.3048665680134093,1.0910471205927479,1,1,1,4
2.7333,-0.0921878843883519,-0.2994249244446223,1.0803270971759673,1,1,1,4
2.75,-0.09177838800414406,-0.305252390940808,1.0619135570498486,1,1,1,4
2.7667,-0.09302990968498648,-0.31914097559342736,1.0402057179539952,1,1,1,4
2.7833,-0.09503032736353134,-0.33960011393136824,1.028432247310235,1,1,1,4
2.8,-0.09336479800589359,-0.3543262517670769,1.0276682961446397,1,1,1,4
2.8167,-0.09017473258515452,-0.36354560827055593,1.0415729367801987,1,1,1,4
2.8333,-0.09297712495430233,-0.36163188180586303,1.0634159403813896,1,1,1,4
2.85,-0.09524575919547829,-0.35335760666293936,1.0824254683385846,1,1,1,4
2.8667,-0.08950182256793937,-0.3427455103392276,1.0919929446713468,1,1,1,4
2.8833,-0.0831654406941027,-0.3364330525812136,1.1017038937996517,1,1,1,4
2.9,-0.08692823694303797,-0.3292958165354207,1.105603573751182,1,1,1,4
2.9167,-0.08939816046890314,-0.32740846494027664,1.1072048824264016,1,1,1,4
2.9333,-0.0952130506352944,-0.3253239139333459,1.0951587879769988,1,1,1,4
2.95,-0.1015057407549591,-0.3267664797144221,1.072648584811958,1,1,1,4
2.9667,-0.11285957594290608,-0.3314557990337903,1.0406143338041431,1,1,1,4
2.9833,-0.11705073558522372,-0.3442002349135578,1.0162721866680613,1,1,1,4
3.0,-0.12554758553977763,-0.3548537096507687,1.006578949825922,1,1,1,4
3.0167,-0.12838439171929394,-0.36923749415939255,1.0245890561975841,1,1,1,4
3.0333,-0.13070349296245354,-0.38355626664187525,1.053550155136321,1,1,1,4
3.05,-0.1294790559430794,-0.3955347271947858,1.0865447374088433,1,1,1,4
3.0667,-0.1262793985916062,-0.40615707995800676,1.1147635050542704,1,1,1,4
3.0833,-0.1257216365028455,-0.40984931375629685,1.1341434513421689,1,1,1,4
